Unnamed: 0,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
177,28-Feb-2017,8898.95,8914.75,8867.6,8879.6,302722890,13819.57
178,01-Mar-2017,8904.4,8960.8,8898.6,8945.8,212328974,9681.99
179,02-Mar-2017,8982.85,8992.5,8879.8,8899.75,225608140,10075.19
180,03-Mar-2017,8883.5,8907.1,8860.1,8897.55,208915878,9783.57
181,06-Mar-2017,8915.1,8967.8,8914.0,8963.45,180194586,8955.06
182,07-Mar-2017,8977.75,8977.85,8932.8,8946.9,178827506,8149.28
183,08-Mar-2017,8950.7,8957.05,8891.95,8924.3,183325544,9489.36
184,09-Mar-2017,8914.5,8945.8,8899.5,8927.0,176810453,8493.21
185,10-Mar-2017,8953.7,8975.7,8903.95,8934.55,157419999,7385.28
186,14-Mar-2017,9091.65,9122.75,9060.5,9087.0,278726933,14087.57
187,15-Mar-2017,9086.85,9106.55,9075.5,9084.8,248033251,9671.51
188,16-Mar-2017,9129.65,9158.45,9128.55,9153.7,215096446,9275.05
189,17-Mar-2017,9207.8,9218.4,9147.6,9160.05,295554265,13226.29
190,20-Mar-2017,9166.95,9167.6,9116.3,9126.85,342395900,9251.16
191,21-Mar-2017,9133.95,9147.75,9087.2,9121.5,255396073,10191.6
192,22-Mar-2017,9047.2,9072.9,9019.3,9030.45,239463699,10065.92
193,23-Mar-2017,9048.75,9099.05,9048.6,9086.3,197705274,8699.36
194,24-Mar-2017,9104.0,9133.55,9089.4,9108.0,210021581,8853.03
195,27-Mar-2017,9093.45,9094.85,9024.65,9045.2,209036051,8921.57
196,28-Mar-2017,9081.5,9110.4,9079.8,9100.8,188985603,8139.28
197,29-Mar-2017,9128.7,9153.15,9109.1,9143.8,250902906,11089.43
198,30-Mar-2017,9142.6,9183.15,9136.35,9173.75,333410368,15585.42
199,31-Mar-2017,9158.9,9191.7,9152.1,9173.75,196771674,10955.05
200,03-Apr-2017,9220.6,9245.35,9192.4,9237.85,143444541,8337.06
201,05-Apr-2017,9264.4,9273.9,9215.4,9265.15,190529461,11461.96
202,06-Apr-2017,9245.8,9267.95,9218.85,9261.95,191937207,10332.6
203,07-Apr-2017,9223.7,9250.5,9188.1,9198.3,195918747,10217.13
204,10-Apr-2017,9225.6,9225.65,9174.85,9181.45,139968750,8140.08
205,11-Apr-2017,9184.55,9242.7,9172.85,9237.0,206261727,9385.2
206,12-Apr-2017,9242.5,9246.4,9161.8,9203.45,166755013,8412.97
207,13-Apr-2017,9202.5,9202.65,9144.95,9150.8,171695600,8908.17
208,17-Apr-2017,9144.75,9160.0,9120.25,9139.3,132244225,6473.27
209,18-Apr-2017,9163.0,9217.9,9095.45,9105.15,179569574,8527.5
210,19-Apr-2017,9112.2,9120.5,9075.15,9103.5,179117382,8950.27
211,20-Apr-2017,9108.1,9143.9,9102.65,9136.4,175629897,8843.5
212,21-Apr-2017,9179.1,9183.65,9088.75,9119.4,159981265,8476.63
213,24-Apr-2017,9135.35,9225.4,9130.55,9217.95,172908048,9720.75
214,25-Apr-2017,9273.05,9309.2,9250.35,9306.6,173896951,10426.02
215,26-Apr-2017,9336.2,9367.0,9301.35,9351.85,191395120,10483.32
216,27-Apr-2017,9359.15,9367.15,9322.65,9342.15,215881711,12910.38
217,28-Apr-2017,9340.95,9342.65,9282.25,9304.05,167229353,8673.32
218,02-May-2017,9339.85,9352.55,9269.9,9313.8,166558241,9110.59
219,03-May-2017,9344.7,9346.3,9298.4,9311.95,156342492,7975.14
220,04-May-2017,9360.95,9365.65,9323.25,9359.9,277895923,12379.74
221,05-May-2017,9374.55,9377.1,9272.0,9285.3,239133531,10466.68
222,08-May-2017,9311.45,9338.7,9297.95,9314.05,179709949,8300.22
223,09-May-2017,9337.35,9338.95,9307.7,9316.85,136417428,7504.66
224,10-May-2017,9339.65,9414.75,9336.0,9407.3,157363135,8619.06
225,11-May-2017,9448.6,9450.65,9411.3,9422.4,176439840,9289.89
226,12-May-2017,9436.65,9437.75,9372.55,9400.9,159079418,9813.47
227,15-May-2017,9433.55,9449.25,9423.1,9445.4,145163953,7790.97
228,16-May-2017,9461.0,9517.2,9456.35,9512.25,171709433,9209.89
229,17-May-2017,9517.6,9532.6,9486.1,9525.75,211856040,10726.23
230,18-May-2017,9453.2,9489.1,9418.1,9429.45,199340647,10782.46
231,19-May-2017,9469.9,9505.75,9390.75,9427.9,259861396,11544.77
232,22-May-2017,9480.25,9498.65,9427.9,9438.25,202874757,9432.97
233,23-May-2017,9445.05,9448.05,9370.0,9386.15,231345629,11553.27
234,24-May-2017,9410.9,9431.9,9341.65,9360.55,218265181,11045.95
235,25-May-2017,9384.05,9523.3,9379.2,9509.75,298147347,16964.26
236,26-May-2017,9507.75,9604.9,9495.4,9595.1,225647631,11204.36
237,29-May-2017,9560.05,9637.75,9547.7,9604.9,242266034,12484.61
238,30-May-2017,9590.65,9635.3,9581.2,9624.55,199894193,9765.4
239,31-May-2017,9636.55,9649.6,9609.25,9621.25,427053433,19605.94
240,01-Jun-2017,9603.55,9634.65,9589.9,9616.1,181533283,9482.61
241,02-Jun-2017,9657.15,9673.5,9637.45,9653.5,167195027,8564.3
242,05-Jun-2017,9656.3,9687.2,9640.7,9675.1,131685021,7192.24
243,06-Jun-2017,9704.25,9709.3,9630.2,9637.15,150379695,8416.55
244,07-Jun-2017,9663.95,9678.55,9630.55,9663.9,165669924,8989.36
245,08-Jun-2017,9682.4,9688.7,9641.5,9647.25,160165459,8822.63
246,09-Jun-2017,9638.55,9676.25,9608.15,9668.25,163897548,9078.71
247,12-Jun-2017,9646.7,9647.05,9598.5,9616.4,145786938,7686.89
248,13-Jun-2017,9615.55,9654.15,9595.4,9606.9,133734363,7056.83
249,14-Jun-2017,9621.55,9627.4,9580.45,9618.15,187378750,10540.68
250,15-Jun-2017,9617.9,9621.4,9560.8,9578.05,176423424,9868.08
251,16-Jun-2017,9595.45,9615.85,9565.5,9588.05,219808528,11920.62
252,19-Jun-2017,9626.4,9673.3,9614.9,9657.55,146146062,8144.36
253,20-Jun-2017,9670.5,9676.5,9643.75,9653.5,164437226,8476.67
254,21-Jun-2017,9648.1,9650.45,9608.6,9633.6,148490556,8023.4
255,22-Jun-2017,9642.65,9698.85,9617.75,9630.0,204888654,10738.45
256,23-Jun-2017,9643.25,9647.65,9565.3,9574.95,180580579,9092.74
257,27-Jun-2017,9594.05,9615.4,9473.45,9511.4,209593904,11084.51
258,28-Jun-2017,9520.2,9522.5,9474.35,9491.25,177652206,9103.73
259,29-Jun-2017,9522.95,9575.8,9493.8,9504.1,267283587,13395.85
260,30-Jun-2017,9478.5,9535.8,9448.75,9520.9,185202600,8783.59
261,03-Jul-2017,9587.95,9624.0,9543.55,9615.0,188690599,8720.76
262,04-Jul-2017,9645.9,9650.65,9595.5,9613.3,149313755,7774.69
263,05-Jul-2017,9619.75,9643.65,9607.35,9637.6,134849476,7311.1
264,06-Jul-2017,9653.6,9700.7,9639.95,9674.55,152001940,7539.21
265,07-Jul-2017,9670.35,9684.25,9642.65,9665.8,146232151,8514.53
266,10-Jul-2017,9719.3,9782.15,9646.45,9771.05,40142973,1920.78
267,11-Jul-2017,9797.45,9830.05,9778.85,9786.05,185322358,9908.41
268,12-Jul-2017,9807.3,9824.95,9787.7,9816.1,150045594,7966.44
269,13-Jul-2017,9855.8,9897.25,9853.45,9891.7,186866752,10244.56
270,14-Jul-2017,9913.3,9913.3,9845.45,9886.35,164456602,9187.71
271,17-Jul-2017,9908.15,9928.2,9894.7,9915.95,168596771,8310.48
272,18-Jul-2017,9832.7,9885.35,9792.05,9827.15,303007860,13184.22
273,19-Jul-2017,9855.95,9905.05,9851.65,9899.6,206376192,10935.6
274,20-Jul-2017,9920.2,9922.55,9863.45,9873.3,166083004,8942.56
275,21-Jul-2017,9899.6,9924.7,9838.0,9915.25,193286125,11860.28
276,24-Jul-2017,9936.8,9982.05,9919.6,9966.4,179905535,10837.2
277,25-Jul-2017,10010.55,10011.3,9949.1,9964.55,191206247,10491.32
278,26-Jul-2017,9983.65,10025.95,9965.95,10020.65,203697844,11403.3
279,27-Jul-2017,10063.25,10114.85,10005.5,10020.55,296782048,18601.99
280,28-Jul-2017,9996.55,10026.05,9944.5,10014.5,197491415,11996.8
281,31-Jul-2017,10034.7,10085.9,10016.95,10077.1,245096535,13131.89
282,01-Aug-2017,10101.05,10128.6,10065.75,10114.65,190000516,11515.29
283,02-Aug-2017,10136.3,10137.85,10054.2,10081.5,166463276,9165.92
284,03-Aug-2017,10081.15,10081.15,9998.25,10013.65,198665837,10714.1
285,04-Aug-2017,10008.6,10075.25,9988.35,10066.4,184082134,10397.88
286,07-Aug-2017,10074.8,10088.1,10046.35,10057.4,141566282,7827.95
287,08-Aug-2017,10068.35,10083.8,9947.0,9978.55,209645343,10780.41
288,09-Aug-2017,9961.15,9969.8,9893.05,9908.05,174395293,8831.72
289,10-Aug-2017,9872.85,9892.65,9776.2,9820.25,242820594,12040.13
290,11-Aug-2017,9712.15,9771.65,9685.55,9710.8,294732998,13435.56
291,14-Aug-2017,9755.75,9818.3,9752.1,9794.15,201613585,9486.82
292,16-Aug-2017,9825.85,9903.95,9773.85,9897.3,226269013,10815.38
293,17-Aug-2017,9945.55,9947.8,9883.75,9904.15,203652311,9927.47
294,18-Aug-2017,9865.95,9865.95,9783.65,9837.4,253931517,15636.16
295,21-Aug-2017,9864.25,9884.35,9740.1,9754.35,211627775,11764.0
296,22-Aug-2017,9815.75,9828.45,9752.6,9765.55,189267122,9850.89
297,23-Aug-2017,9803.05,9857.9,9786.75,9852.5,173815509,9961.13
298,24-Aug-2017,9881.2,9881.5,9848.85,9857.05,190398702,10392.63
299,28-Aug-2017,9907.15,9925.75,9882.0,9912.8,164493772,9900.06
300,29-Aug-2017,9886.4,9887.35,9783.75,9796.05,178668444,8469.09
301,30-Aug-2017,9859.5,9909.45,9850.8,9884.4,162704136,8008.72
302,31-Aug-2017,9905.7,9925.1,9856.95,9917.9,337782004,14619.43
303,01-Sep-2017,9937.65,9983.45,9909.85,9974.4,162730656,9314.82
304,04-Sep-2017,9984.15,9988.4,9861.0,9912.85,153369495,8069.64
305,05-Sep-2017,9933.25,9963.1,9901.05,9952.2,143522342,7566.62
306,06-Sep-2017,9899.25,9931.55,9882.55,9916.2,153767846,8926.98
307,07-Sep-2017,9945.85,9964.85,9917.2,9929.9,194626599,9455.48
308,08-Sep-2017,9958.65,9963.6,9913.3,9934.8,168698771,8792.49
309,11-Sep-2017,9971.75,10028.65,9968.8,10006.05,178409875,9545.94
310,12-Sep-2017,10056.85,10097.55,10028.05,10093.05,188248293,9894.2
311,13-Sep-2017,10099.25,10131.95,10063.15,10079.3,221608053,10682.41
312,14-Sep-2017,10107.4,10126.5,10070.35,10086.6,232637517,11047.46
313,15-Sep-2017,10062.35,10115.15,10043.65,10085.4,274799134,13650.9
314,18-Sep-2017,10133.1,10171.7,10131.3,10153.1,160852680,8106.66
315,19-Sep-2017,10175.6,10178.95,10129.95,10147.55,193345992,8796.21
316,20-Sep-2017,10160.95,10171.05,10134.2,10141.15,205605243,10105.71
317,21-Sep-2017,10139.6,10158.9,10058.6,10121.9,197710666,11114.28
318,22-Sep-2017,10094.35,10095.05,9952.8,9964.4,233621596,11941.88
319,25-Sep-2017,9960.1,9960.5,9816.05,9872.6,228206970,11258.68
320,26-Sep-2017,9875.25,9891.35,9813.0,9871.5,196792799,9754.02
321,27-Sep-2017,9920.6,9921.05,9714.4,9735.75,206305991,10127.39
322,28-Sep-2017,9736.4,9789.2,9687.55,9768.95,396874518,18962.4
323,29-Sep-2017,9814.3,9854.0,9775.35,9788.6,202350211,11087.11
324,03-Oct-2017,9893.3,9895.4,9831.05,9859.5,167833406,9698.55
325,04-Oct-2017,9884.35,9938.3,9850.65,9914.9,160993982,8790.29
326,05-Oct-2017,9927.0,9945.95,9881.85,9888.7,152362417,7823.55
327,06-Oct-2017,9908.15,9989.35,9906.6,9979.7,201858899,9986.18
328,09-Oct-2017,9988.2,10015.75,9959.45,9988.75,148395842,7425.19
329,10-Oct-2017,10013.7,10034.0,10002.3,10016.95,153246570,8055.5
330,11-Oct-2017,10042.6,10067.25,9955.8,9984.8,195593061,10227.9
331,12-Oct-2017,10011.2,10104.45,9977.1,10096.4,207106672,10579.8
332,13-Oct-2017,10123.7,10191.9,10120.1,10167.45,237230047,12379.8
333,16-Oct-2017,10207.4,10242.95,10175.1,10230.85,209327364,11774.68
334,17-Oct-2017,10227.65,10251.85,10212.6,10234.45,201782377,10422.81
335,18-Oct-2017,10209.4,10236.45,10175.75,10210.85,262111790,13177.83
336,19-Oct-2017,10210.35,10211.95,10123.35,10146.55,31086379,1685.16
337,23-Oct-2017,10176.65,10224.15,10124.5,10184.85,224799211,12144.31
338,24-Oct-2017,10218.55,10237.75,10182.4,10207.7,223914325,11539.73
339,25-Oct-2017,10321.15,10340.55,10240.9,10295.35,612620774,25922.51
340,26-Oct-2017,10291.8,10355.65,10271.85,10343.8,443036008,23135.46
341,27-Oct-2017,10362.3,10366.15,10311.3,10323.05,322411410,15149.9
342,30-Oct-2017,10353.85,10384.5,10344.3,10363.65,244193178,12558.7
343,31-Oct-2017,10364.9,10367.7,10323.95,10335.3,239809700,12830.06
344,01-Nov-2017,10390.35,10451.65,10383.05,10440.5,268270466,14206.21
345,02-Nov-2017,10440.5,10453.0,10412.55,10423.8,207735021,10779.63
